optimizer,lr,batch size,sharpness,non uniformity
gd,0.5,1000,3.55,13.12
gd,0.5,1000,3.77,11.02
gd,0.5,1000,3.81,11.2
gd,0.5,1000,3.69,14.66
gd,0.5,1000,3.34,14.67
sgd,0.5,25,2.79,5.29
sgd,0.5,25,2.65,9.55
sgd,0.5,25,2.26,9.12
sgd,0.5,25,2.49,5.49
sgd,0.5,25,2.5,5.64
sgd,0.5,25,2.2,7.77
sgd,0.5,10,2.04,4.2
sgd,0.5,10,1.73,6.77
sgd,0.5,10,1.89,5.22
sgd,0.5,10,2.06,5.44
sgd,0.5,10,1.22,3.68
sgd,0.5,10,0.8,6.86
sgd,0.5,10,0.67,5.24
sgd,0.5,4,0.45,1.23
sgd,0.5,4,0.32,1.05
sgd,0.5,4,0.4,2.6
sgd,0.5,4,0.43,2.25
sgd,0.5,4,0.59,2.18
sgd,0.5,4,0.48,3.7
sgd,1,10,1.29,2.35
sgd,1,10,0.07,2.27
sgd,1,10,0.64,1.57
sgd,1,10,1.09,1.47
sgd,1,10,0.22,1.64
sgd,0.1,10,9.87,23.45
sgd,0.1,10,8.33,23.52
sgd,0.1,10,11.75,29.03
sgd,0.1,10,5.44,28.67
sgd,0.1,10,11.51,25.57
sgd,0.1,10,15.20,29.05
